num_leaves,max_depth,learning_rate,objective,metric,boosting,feature_fraction,max_bin,min_data_in_leaf,min_data_in_bin,bagging_freq,random_seed,lambda_l1,lambda_l2,pos_bagging_fraction,neg_bagging_fraction,verbose,num_iterations,early_stopping_round,train_auc,val_auc,hold_out_auc,train_test_diff,n_estimators,score
13,8,0.013601713142441404,binary,auc,gbdt,0.8948356105347215,70,1000,90,20,2019,1.708556764399915,16.13334802835194,0.721820889040325,0.5723353336284064,-1,20000,,0.9558006886903925,0.9477886183902626,0.9453600783612283,0.008012070300129848,3739,0.2656942067066076
3,7,0.01240539677574641,binary,auc,gbdt,0.6258518088639476,100,575,100,20,2019,5.474069253324232,45.07506964089008,0.4609475747004775,0.7332805886807294,-1,20000,,0.9102273855206956,0.9119626678657621,0.9086028057172844,-0.00173528234506648,3637,0.274027503458607
18,11,0.010857755351498882,binary,auc,gbdt,0.39577422701351017,80,950,75,20,2019,20.416412452650498,0.41229435721530533,0.5672136750285668,0.5936182397999524,-1,20000,,0.8689492185688338,0.8718649196950184,0.8677341103476157,-0.0029157011261846666,26,0.2862301774414027
11,9,0.012409584928104076,binary,auc,gbdt,0.7285303888673929,90,725,90,20,2019,0.36078527107396585,28.542071301890772,0.4054810841599497,0.9429615472884375,-1,20000,,0.950881322975131,0.9450897070163696,0.9408902269210079,0.00579161595876132,3720,0.2658451489002001
14,8,0.009683564934594473,binary,auc,gbdt,0.6250188729816001,90,850,80,20,2019,5.177796528966509,4.474771752915085,0.8694206673879765,0.4686681653427388,-1,20000,,0.9580859195736808,0.9482749480435717,0.945328159656101,0.009810971530109125,5460,0.26603549969534
7,7,0.014190806361102662,binary,auc,gbdt,0.8966450565080069,80,575,95,20,2019,37.76307032354109,21.076914096364934,0.5152157143787651,0.8318387241177438,-1,20000,,0.9330693414223261,0.9321207698785873,0.9282700551974938,0.0009485715437388409,4907,0.26812865268703157
19,9,0.013343961856421211,binary,auc,gbdt,0.7935364995506038,70,250,60,20,2019,12.48159920258021,16.04649950540282,0.6836420953716378,0.7433806112353797,-1,20000,,0.9524110408379474,0.9458869538948427,0.9428770819323956,0.00652408694310469,2860,0.26582079934425784
16,12,0.010646891852068865,binary,auc,gbdt,0.4361353998623064,100,775,85,20,2019,3.3024208146014473,2.7187086147032846,0.7240740594114764,0.9605802154093099,-1,20000,,0.9663650687944418,0.9517568888592648,0.9485377432157637,0.014608179935177046,7059,0.2663464529815769
10,4,0.012218058764727938,binary,auc,gbdt,0.8599098955600113,50,675,75,20,2019,14.293720094124314,5.141860050590952,0.4161073071926604,0.6313609958239894,-1,20000,,0.8553497014722427,0.8589648328273037,0.8537706087338792,-0.0036151313550610853,17,0.2904188841324642
5,10,0.014918975104256988,binary,auc,gbdt,0.9523979875858677,80,300,25,20,2019,0.2540703337448518,6.819326427865136,0.6069020740135357,0.8865944866968017,-1,20000,,0.949107056423407,0.9447391977981527,0.9416333971032373,0.0043678586252542395,5383,0.26556453135799757
21,6,0.012968958797741351,binary,auc,gbdt,0.7561383529157875,100,900,100,20,2019,8.993426244210323,14.575443734956771,0.8582591124817063,0.7559528707048031,-1,20000,,0.9615521835647964,0.9505778845933612,0.948195383918332,0.010974298971435203,4560,0.26571344078682985
8,8,0.009699861345604641,binary,auc,gbdt,0.5778175595688064,70,550,90,20,2019,27.573761790080436,9.74764242995431,0.16366969501601375,0.35335642013585544,-1,20000,,0.9042121307417524,0.9060037092413984,0.9015010185662377,-0.0017915784996459516,2198,0.27575912575308603
17,12,0.014068908797433135,binary,auc,gbdt,0.6529373140843747,60,500,70,20,2019,21.400318251054543,32.44470627461394,0.4939157301741163,0.6778572715763196,-1,20000,,0.9438369839707256,0.9390088160321195,0.9356831928073819,0.004828167938606076,5391,0.26725893509554016
14,4,0.01125644379148258,binary,auc,gbdt,0.3188299531104943,50,150,95,20,2019,17.51669529102841,20.58731545968125,0.6206462248680138,0.5144427330953116,-1,20000,,0.937070687405044,0.9332932555321165,0.9292385053992214,0.0037774318729274503,11228,0.2685603878167767
11,9,0.010191521183769044,binary,auc,gbdt,0.46069859895428783,90,600,60,20,2019,5.891683724208605,26.114838229999453,0.8098540079341018,0.8560295730260739,-1,20000,,0.959252042745077,0.9488323237100637,0.9450027943175371,0.010419719035013375,11143,0.26604362981293417
12,7,0.00655999368144739,binary,auc,gbdt,0.9382994206397044,10,325,25,20,2019,36.292919653744526,8.81576909049448,0.9231170487752784,0.922474899892529,-1,20000,,0.900555567707393,0.9021895319072284,0.9000959351536358,-0.0016339641998354137,3730,0.2768225518617479
2,6,0.01199301668961462,binary,auc,gbdt,0.6117557031434809,40,700,80,20,2019,13.128347584381942,41.15492373762426,0.7222589161653159,0.38623965004674266,-1,20000,,0.8202873960055561,0.8192336776930985,0.82106034173237,0.0010537183124575966,64,0.30246867854468407
8,5,0.014321706852936837,binary,auc,gbdt,0.8350023745087127,80,400,70,20,2019,26.849790431440116,13.128043346741418,0.45473782751230646,0.777103359705177,-1,20000,,0.9343479617874674,0.9330237006178917,0.9294272586798406,0.0013242611695756246,3285,0.2679787648348389
15,2,0.013686666572816222,binary,auc,gbdt,0.7057552525168865,100,925,55,20,2019,16.326869777507714,2.425350128515305,0.5411629612189617,0.16276686012962033,-1,20000,,0.9247808780578308,0.9248232725275799,0.9210101273722165,-4.2394469749074126e-05,5460,0.26992100941183683
10,10,0.014977707641700996,binary,auc,gbdt,0.5040249894348197,60,525,90,20,2019,10.233802268960368,6.243647681148335,0.6884476208566488,0.9115227661498257,-1,20000,,0.9533767685550073,0.945881642941182,0.9426370826203722,0.00749512561382526,6819,0.2660787009505199
4,3,0.011540068030598923,binary,auc,gbdt,0.5405269871910121,90,775,50,20,2019,44.39060793164392,49.760897360864334,0.646673027865212,0.2414869278899911,-1,20000,,0.9160149965274715,0.916612963593248,0.9115521527721095,-0.0005979670657764169,6427,0.2723897578310449
6,11,0.008620922645796785,binary,auc,gbdt,0.7699913680223991,80,850,20,20,2019,25.476370093226897,23.559190111200106,0.3786754044085253,0.9767677988626084,-1,20000,,0.9310036520862415,0.9304017363168047,0.9267317497135608,0.0006019157694368005,6756,0.26851337972816286
